date,total_views,total_comments,total_likes,total_shares,avg_engagement_rate,avg_like_rate,avg_comment_rate,num_videos
2019-09-06,8,0,1,0,12.5,12.5,0,1
2019-09-07,13,0,0,0,0,0,0,2
2019-09-08,6,0,0,0,0,0,0,2
2019-09-09,17,0,1,0,3.7037037037037033,3.7037037037037033,0,3
2019-09-10,7,0,0,0,0,0,0,2
2019-09-11,12,0,0,0,0,0,0,4
2019-09-12,8,0,0,0,0,0,0,4
2019-09-13,18,0,0,0,0,0,0,4
2019-09-14,13,0,0,0,0,0,0,4
2019-09-15,4,0,0,0,0,0,0,3
2019-09-16,9,0,3,0,29.166666666666664,29.166666666666664,0,4
2019-09-17,31,0,0,1,0,0,0,5
2019-09-18,28,0,1,0,1.1111111111111112,1.1111111111111112,0,6
2019-09-19,31,0,1,2,1.8518518518518519,1.8518518518518519,0,6
2019-09-20,11,0,0,1,0,0,0,6
2019-09-21,15,0,0,0,0,0,0,5
2019-09-22,5,0,0,0,0,0,0,3
2019-09-23,8,0,0,0,0,0,0,3
2019-09-24,13,0,0,0,0,0,0,3
2019-09-25,8,0,0,0,0,0,0,4
2019-09-26,11,0,0,0,0,0,0,5
2019-09-27,12,0,0,0,0,0,0,6
2019-09-28,16,1,1,1,16.666666666666664,8.333333333333332,8.333333333333332,6
2019-09-29,31,0,0,2,0,0,0,7
2019-09-30,22,0,0,0,0,0,0,6
2019-10-01,35,0,1,3,3.125,3.125,0,8
2019-10-02,30,0,0,0,0,0,0,8
2019-10-03,43,0,0,0,0,0,0,8
2019-10-04,34,0,0,0,0,0,0,8
2019-10-05,27,0,1,0,2.5,2.5,0,8
2019-10-06,12,0,0,0,0,0,0,7
2019-10-07,12,0,0,0,0,0,0,5
2019-10-08,10,0,0,1,0,0,0,5
2019-10-09,26,0,1,0,1.2345679012345678,1.2345679012345678,0,9
2019-10-10,19,0,0,0,0,0,0,5
2019-10-11,40,1,1,1,3.7037037037037037,1.8518518518518519,1.8518518518518519,9
2019-10-12,30,0,0,2,0,0,0,6
2019-10-13,22,0,2,0,5.625,5.625,0,8
2019-10-14,47,1,2,0,6,4,2,10
2019-10-15,40,0,0,0,0,0,0,10
2019-10-16,16,0,1,0,7.142857142857142,7.142857142857142,0,7
2019-10-17,36,0,1,0,1.1363636363636365,1.1363636363636365,0,8
2019-10-18,22,0,0,0,0,0,0,9
2019-10-19,25,0,1,0,10,10,0,10
2019-10-20,21,0,0,0,0,0,0,9
2019-10-21,22,0,0,0,0,0,0,10
2019-10-22,19,0,0,0,0,0,0,9
2019-10-23,13,0,0,0,0,0,0,9
2019-10-24,31,0,2,0,8.333333333333334,8.333333333333334,0,10
2019-10-25,31,0,0,0,0,0,0,10
2019-10-26,31,0,0,1,0,0,0,12
2019-10-27,14,0,0,1,0,0,0,8
2019-10-28,19,0,0,0,0,0,0,13
2019-10-29,31,0,0,0,0,0,0,11
2019-10-30,41,0,1,2,1.6666666666666665,1.6666666666666665,0,12
2019-10-31,63,1,5,0,4.841269841269841,4.396825396825397,0.44444444444444436,15
2019-11-01,62,0,2,0,1.7307692307692308,1.7307692307692308,0,13
2019-11-02,47,0,1,0,1.6666666666666667,1.6666666666666667,0,15
2019-11-03,30,0,2,0,2.1978021978021975,2.1978021978021975,0,13
2019-11-04,33,0,0,0,0,0,0,13
2019-11-05,48,0,2,0,2.9761904761904763,2.9761904761904763,0,14
2019-11-06,34,0,1,1,3.8461538461538463,3.8461538461538463,0,13
2019-11-07,37,0,1,0,0.8333333333333334,0.8333333333333334,0,15
2019-11-08,53,0,4,0,5.384615384615384,5.384615384615384,0,13
2019-11-09,27,0,0,0,0,0,0,12
2019-11-10,36,0,2,1,2.3809523809523805,2.3809523809523805,0,12
2019-11-11,40,0,2,1,5.128205128205129,5.128205128205129,0,13
2019-11-12,27,0,0,0,0,0,0,11
2019-11-13,69,0,5,0,4.3350970017636685,4.3350970017636685,0,15
2019-11-14,46,0,3,0,2.8280542986425337,2.8280542986425337,0,13
2019-11-15,39,0,1,1,1.2987012987012985,1.2987012987012985,0,11
2019-11-16,45,0,1,0,1.7857142857142858,1.7857142857142858,0,14
2019-11-17,40,0,0,1,0,0,0,12
2019-11-18,36,0,1,0,1.7857142857142858,1.7857142857142858,0,14
2019-11-19,34,0,0,0,0,0,0,15
2019-11-20,49,0,0,0,0,0,0,15
2019-11-21,43,0,0,1,0,0,0,15
2019-11-22,49,0,0,0,0,0,0,15
2019-11-23,44,0,0,0,0,0,0,13
2019-11-24,36,0,0,0,0,0,0,13
2019-11-25,46,0,1,3,1.5625,1.5625,0,16
2019-11-26,33,0,0,0,0,0,0,13
2019-11-27,43,0,1,0,1.5625,1.5625,0,16
2019-11-28,40,0,0,0,0,0,0,13
2019-11-29,36,0,0,0,0,0,0,14
2019-11-30,34,0,0,0,0,0,0,16
2019-12-01,25,0,2,3,4.090909090909092,4.090909090909092,0,11
2019-12-02,17,0,1,0,2.2727272727272725,2.2727272727272725,0,11
2019-12-03,34,0,1,0,2.222222222222222,2.222222222222222,0,15
2019-12-04,38,0,0,0,0,0,0,14
2019-12-05,43,0,0,0,0,0,0,16
2019-12-06,40,0,0,0,0,0,0,14
2019-12-07,14,0,0,0,0,0,0,9
2019-12-08,23,0,2,0,4.444444444444445,4.444444444444445,0,12
2019-12-09,32,0,1,0,2.564102564102564,2.564102564102564,0,13
2019-12-10,43,0,0,0,0,0,0,15
2019-12-11,34,0,1,0,8.333333333333334,8.333333333333334,0,12
2019-12-12,59,0,2,0,2.8888888888888884,2.8888888888888884,0,15
2019-12-13,46,0,0,1,0,0,0,17
2019-12-14,78,0,4,1,0.5,0.5,0,16
2019-12-15,62,1,1,0,4.629629629629629,2.7777777777777772,1.8518518518518519,18
2019-12-16,73,0,2,0,0.7843137254901961,0.7843137254901961,0,17
2019-12-17,125,5,1,0,2.1759259259259256,1.25,0.925925925925926,20
2019-12-18,108,5,2,2,3.1851851851851856,2.074074074074074,1.1111111111111114,18
2019-12-19,95,0,2,2,1.291866028708134,1.291866028708134,0,19
2019-12-20,63,0,3,0,1.3494318181818183,1.3494318181818183,0,16
2019-12-21,62,0,0,2,0,0,0,15
2019-12-22,48,0,0,0,0,0,0,18
2019-12-23,60,0,2,0,6.176470588235294,6.176470588235294,0,17
2019-12-24,49,3,0,0,2.3076923076923084,0,2.3076923076923084,13
2019-12-25,110,0,1,3,0.15625,0.15625,0,20
2019-12-26,32,0,0,0,0,0,0,14
2019-12-27,51,0,1,0,1.5384615384615383,1.5384615384615383,0,13
2019-12-28,52,0,1,0,0.4807692307692308,0.4807692307692308,0,16
2019-12-29,71,0,0,0,0,0,0,20
2019-12-30,60,0,0,0,0,0,0,19
2019-12-31,127,0,4,0,0.7954545454545457,0.7954545454545457,0,22
2020-01-01,60,0,5,0,7.888888888888888,7.888888888888888,0,15
2020-01-02,121,1,1,6,1.0582010582010581,0.5291005291005291,0.5291005291005291,21
2020-01-03,73,1,0,1,0.4784688995215311,0,0.4784688995215311,19
2020-01-04,75,0,2,1,1.6346153846153846,1.6346153846153846,0,20
2020-01-05,80,0,0,0,0,0,0,22
2020-01-06,66,0,3,1,3.4722222222222223,3.4722222222222223,0,20
2020-01-07,74,1,0,0,0.65359477124183,0,0.65359477124183,17
